CP,Entidad,Alcaldia,P_NIVSOCEC,Sum_Servicios
44919,Jalisco,San Pedro Tlaquepaque,142.85,26
44930,Jalisco,San Pedro Tlaquepaque,156.59,71
56375,México,Chicoloapan de Juárez,123.47,6
55726,México,Coacalco de Berrizabal,119.46,34
44737,Jalisco,San Pedro Tlaquepaque,115.08,24
36885,Guanajuato,Salamanca,78.59,14
44490,Jalisco,San Pedro Tlaquepaque,150.91,33
36720,Guanajuato,Salamanca,153.13,54
44948,Jalisco,San Pedro Tlaquepaque,122.73,37
72705,Puebla,Cuautlancingo,97.52,20
44210,Jalisco,San Pedro Tlaquepaque,187.53,113
44370,Jalisco,San Pedro Tlaquepaque,141.84,0
36749,Guanajuato,Salamanca,109.07,76
44969,Jalisco,San Pedro Tlaquepaque,98.88,19
44259,Jalisco,San Pedro Tlaquepaque,132.88,50
44680,Jalisco,San Pedro Tlaquepaque,188.32,0
72770,Puebla,Cuautlancingo,110.96,20
55739,México,Coacalco de Berrizabal,91.63,34
44967,Jalisco,San Pedro Tlaquepaque,103.01,0
44648,Jalisco,San Pedro Tlaquepaque,196.87,2
44760,Jalisco,San Pedro Tlaquepaque,122.28,64
44727,Jalisco,San Pedro Tlaquepaque,110.46,49
44768,Jalisco,San Pedro Tlaquepaque,128.64,35
44550,Jalisco,San Pedro Tlaquepaque,185.37,29
55730,México,Coacalco de Berrizabal,132.99,109
44689,Jalisco,San Pedro Tlaquepaque,193.28,29
72713,Puebla,Cuautlancingo,94.29,21
72104,Puebla,Cuautlancingo,107.57,67
55715,México,Coacalco de Berrizabal,113.4,156
44650,Jalisco,San Pedro Tlaquepaque,185.73,0
44984,Jalisco,San Pedro Tlaquepaque,98.14,24
44110,Jalisco,San Pedro Tlaquepaque,179.27,0
36874,Guanajuato,Salamanca,63.81,29
36750,Guanajuato,Salamanca,114.52,36
44726,Jalisco,San Pedro Tlaquepaque,107.73,0
55736,México,Coacalco de Berrizabal,125.24,26
72720,Puebla,Cuautlancingo,72.71,16
72778,Puebla,Cuautlancingo,134.21,0
44977,Jalisco,San Pedro Tlaquepaque,111.19,23
44966,Jalisco,San Pedro Tlaquepaque,105.45,11
44266,Jalisco,San Pedro Tlaquepaque,127.51,46
36770,Guanajuato,Salamanca,83.73,37
44780,Jalisco,San Pedro Tlaquepaque,107.64,33
